,Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P85,P90,P95,P97
405,Female,208.5,-2.247257,21.038738,0.1474242,16.95969,17.336302,17.973444,19.232847,21.038738,23.544798,25.369371,26.904356,29.865839,32.47859
406,Female,209.5,-2.2548852,21.07049,0.14736918,16.988943,17.365639,18.002977,19.263014,21.07049,23.580446,25.40938,26.949202,29.923523,32.552036
407,Female,210.5,-2.262382,21.101633,0.14732315,17.017488,17.394274,18.031822,19.292517,21.101633,23.615576,25.448954,26.9937,29.981092,32.625668
408,Female,211.5,-2.2697315,21.132158,0.1472867,17.045301,17.422184,18.059958,19.321346,21.132158,23.65019,25.488104,27.03787,30.038574,32.69952
409,Female,212.5,-2.2769172,21.162062,0.14726041,17.072361,17.449352,18.087368,19.34949,21.162062,23.68429,25.52684,27.081726,30.095991,32.773624
410,Female,213.5,-2.2839255,21.191336,0.14724483,17.098644,17.475756,18.114035,19.37693,21.191336,23.71788,25.565172,27.12528,30.15337,32.848015
411,Female,214.5,-2.2907314,21.219975,0.14724068,17.124126,17.50137,18.139935,19.403656,21.219975,23.750969,25.603113,27.168556,30.210735,32.92272
412,Female,215.5,-2.2973242,21.247972,0.14724846,17.148787,17.526176,18.165052,19.429655,21.247972,23.783556,25.640675,27.211567,30.268118,32.997784
413,Female,216.5,-2.3036878,21.275322,0.14726877,17.172602,17.550154,18.18937,19.45491,21.275322,23.815645,25.677864,27.254328,30.325542,33.07324
414,Female,217.5,-2.3098,21.30202,0.1473023,17.195547,17.57328,18.212864,19.47941,21.30202,23.847242,25.714697,27.29686,30.383038,33.149117
415,Female,218.5,-2.315652,21.328054,0.1473495,17.217604,17.595535,18.235521,19.50314,21.328054,23.87835,25.75118,27.339178,30.44063,33.225464
416,Female,219.5,-2.3212173,21.353426,0.14741121,17.238743,17.616892,18.257318,19.526085,21.353426,23.908976,25.787334,27.381302,30.498354,33.30231
417,Female,220.5,-2.3264818,21.378124,0.14748798,17.258942,17.637333,18.278236,19.548233,21.378124,23.939125,25.823166,27.423254,30.556234,33.379696
418,Female,221.5,-2.331428,21.402145,0.14758046,17.27818,17.656836,18.298256,19.569569,21.402145,23.9688,25.85869,27.46505,30.614305,33.457657
419,Female,222.5,-2.3360386,21.425484,0.14768928,17.296429,17.675375,18.317358,19.59008,21.425484,23.998009,25.893923,27.506712,30.672596,33.53624
420,Female,223.5,-2.3402956,21.448132,0.14781515,17.313667,17.69293,18.335522,19.60975,21.448132,24.026756,25.928873,27.548258,30.731138,33.61548
421,Female,224.5,-2.3441818,21.470083,0.14795871,17.32987,17.709478,18.35273,19.628567,21.470083,24.055046,25.963558,27.589712,30.789967,33.695415
422,Female,225.5,-2.34768,21.491335,0.14812063,17.345015,17.724997,18.36896,19.646515,21.491335,24.082888,25.997993,27.631092,30.849113,33.776093
423,Female,226.5,-2.3507733,21.511879,0.14830162,17.359076,17.739464,18.384192,19.66358,21.511879,24.110287,26.03219,27.672422,30.908611,33.857555
